iteration,loss_gen_a_identity,loss_gen_b_identity,loss_gen_a_translate,loss_gen_b_translate,loss_gen_adv_a,loss_gen_adv_b,loss_gen_a_content,loss_gen_b_content,loss_gen_a_identity_content,loss_gen_b_identity_content,loss_gen_aba_noise,loss_gen_a_identity_noise,loss_dis_a,loss_dis_b,loss_gen_diversity
28200,"tensor(0.0040, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0089, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0101, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0187, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.9894, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.8018, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0631, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0951, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0262, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0520, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0011, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0006, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1085, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2592, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4415, device='cuda:1', grad_fn=<MeanBackward0>)"
28300,"tensor(0.0048, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0091, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0191, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0194, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(1.0662, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6455, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0855, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0880, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0177, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0391, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0015, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0004, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0849, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1594, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2425, device='cuda:1', grad_fn=<MeanBackward0>)"
28400,"tensor(0.0065, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0100, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0243, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0188, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6602, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7776, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1021, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0849, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0266, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0438, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0016, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0007, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1665, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3127, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2631, device='cuda:1', grad_fn=<MeanBackward0>)"
28500,"tensor(0.0067, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0109, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0189, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0196, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.8319, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6654, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0795, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0851, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0199, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0459, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0018, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0005, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1928, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1145, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3206, device='cuda:1', grad_fn=<MeanBackward0>)"
28600,"tensor(0.0082, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0094, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0114, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0197, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6278, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.9601, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0715, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0913, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0275, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0454, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0011, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0004, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1990, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2439, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5666, device='cuda:1', grad_fn=<MeanBackward0>)"
28700,"tensor(0.0159, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0093, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0196, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0190, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.8260, device='cuda:1', grad_fn=<DivBackward0>)","tensor(1.0248, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0587, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0853, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0331, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0391, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0016, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0007, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1076, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1096, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6740, device='cuda:1', grad_fn=<MeanBackward0>)"
28800,"tensor(0.0084, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0092, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0301, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0180, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.7538, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6362, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1043, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0875, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0231, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0404, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0023, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0006, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1643, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2774, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.9424, device='cuda:1', grad_fn=<MeanBackward0>)"
28900,"tensor(0.0031, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0094, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0100, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0192, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.7613, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.9333, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0662, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0992, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0190, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0446, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0012, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0004, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1690, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1764, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5042, device='cuda:1', grad_fn=<MeanBackward0>)"
29000,"tensor(0.0076, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0091, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0234, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0175, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.8075, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.9891, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0901, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0868, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0226, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0469, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0025, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0007, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1062, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0694, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7162, device='cuda:1', grad_fn=<MeanBackward0>)"
29100,"tensor(0.0058, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0097, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0102, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0195, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6287, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6416, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0638, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0882, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0233, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0429, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0010, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0004, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1963, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1197, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3096, device='cuda:1', grad_fn=<MeanBackward0>)"
29200,"tensor(0.0141, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0116, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0374, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0224, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.8377, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.8398, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1155, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0937, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0326, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0488, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0027, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0010, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1448, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1578, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5549, device='cuda:1', grad_fn=<MeanBackward0>)"
29300,"tensor(0.0035, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0094, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0106, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0198, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.7814, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.8384, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0705, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0953, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0185, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0382, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0011, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0004, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1649, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1707, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2085, device='cuda:1', grad_fn=<MeanBackward0>)"
29400,"tensor(0.0075, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0089, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0239, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0202, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.8025, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.9447, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0884, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0913, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0227, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0382, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0019, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0006, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1317, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0826, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2522, device='cuda:1', grad_fn=<MeanBackward0>)"
29500,"tensor(0.0135, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0090, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0495, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0195, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.7241, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7833, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1234, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0887, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0340, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0374, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0031, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0009, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1917, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0736, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2008, device='cuda:1', grad_fn=<MeanBackward0>)"
29600,"tensor(0.0140, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0107, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0166, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0196, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.8754, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.8216, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0758, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0909, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0311, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0461, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0011, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0005, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0883, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1770, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1695, device='cuda:1', grad_fn=<MeanBackward0>)"
29700,"tensor(0.0134, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0086, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0265, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0180, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.9895, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7183, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0948, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0857, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0320, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0351, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0020, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0007, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0912, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1469, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.8026, device='cuda:1', grad_fn=<MeanBackward0>)"
29800,"tensor(0.0202, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0097, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0219, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0206, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.9357, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.9328, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0819, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0812, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0575, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0332, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0017, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0013, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1836, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1208, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1286, device='cuda:1', grad_fn=<MeanBackward0>)"
29900,"tensor(0.0081, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0086, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0171, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0210, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.8616, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7536, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0832, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1062, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0242, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0403, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0013, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0006, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1567, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1063, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1667, device='cuda:1', grad_fn=<MeanBackward0>)"
30000,"tensor(0.0033, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0088, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0092, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0214, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6926, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7797, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0605, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0962, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0203, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0404, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0009, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0005, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1695, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1349, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4281, device='cuda:1', grad_fn=<MeanBackward0>)"
30100,"tensor(0.0106, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0087, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0279, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0189, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(1.0206, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6523, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0896, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0888, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0262, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0384, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0024, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0012, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3227, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2501, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7759, device='cuda:1', grad_fn=<MeanBackward0>)"
30200,"tensor(0.0070, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0090, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0287, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0218, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.8268, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.8573, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1055, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0998, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0225, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0447, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0018, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0006, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1020, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1099, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5020, device='cuda:1', grad_fn=<MeanBackward0>)"
30300,"tensor(0.0121, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0090, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0141, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0200, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6064, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7260, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0738, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0939, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0321, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0362, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0011, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0005, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2059, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1295, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6094, device='cuda:1', grad_fn=<MeanBackward0>)"
30400,"tensor(0.0116, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0091, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0327, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0215, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5899, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.9598, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1042, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0963, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0282, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0358, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0018, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0008, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0782, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0859, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2467, device='cuda:1', grad_fn=<MeanBackward0>)"
30500,"tensor(0.0093, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0116, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0270, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0226, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.8623, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.8319, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1026, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1083, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0264, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0560, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0017, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0007, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0848, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1808, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7271, device='cuda:1', grad_fn=<MeanBackward0>)"
30600,"tensor(0.0053, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0089, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0091, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0168, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6484, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6068, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0601, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0794, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0218, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0363, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0009, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0004, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0828, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1095, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.9160, device='cuda:1', grad_fn=<MeanBackward0>)"
30700,"tensor(0.0072, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0088, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0237, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0169, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.8191, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6894, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0944, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0810, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0260, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0361, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0023, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0014, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2424, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2303, device='cuda:1', grad_fn=<DivBackward0>)","tensor(1.1092, device='cuda:1', grad_fn=<MeanBackward0>)"
30800,"tensor(0.0066, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0085, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0287, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0179, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6673, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7342, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0956, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0765, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0227, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0354, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0024, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0006, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1578, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0931, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2200, device='cuda:1', grad_fn=<MeanBackward0>)"
